1,1,The Declaration of Independence of the United States of America,Thomas Jefferson,https://www.gutenberg.org/files/1/1-0.txt
2,3,John F. Kennedy's Inaugural Address,John F. Kennedy,https://www.gutenberg.org/files/3/3-0.txt
3,7,The Mayflower Compact,Unknown Author,https://www.gutenberg.org/files/7/7-0.txt
4,9,Abraham Lincoln's First Inaugural Address,Abraham Lincoln,https://www.gutenberg.org/files/9/9-0.txt
5,10,The King James Version of the Bible,Unknown Author,https://www.gutenberg.org/files/10/10-0.txt
6,11,Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/files/11/11-0.txt
7,12,Through the Looking-Glass,Lewis Carroll,https://www.gutenberg.org/files/12/12-0.txt
8,13,The Hunting of the Snark An Agony in Eight Fits,Lewis Carroll,https://www.gutenberg.org/files/13/13-0.txt
9,14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,https://www.gutenberg.org/files/14/14-0.txt
10,15,Moby-Dick; or; The Whale,Herman Melville,https://www.gutenberg.org/files/15/15-0.txt
11,16,Peter Pan,J. M. Barrie,https://www.gutenberg.org/files/16/16-0.txt
12,17,The Book of Mormon  an account written,the hand of Mormon; upon plates…,https://www.gutenberg.org/files/17/17-0.txt
13,18,The Federalist Papers,Alexander Hamilton; John Jay; and James Madison,https://www.gutenberg.org/files/18/18-0.txt
14,19,The Song of Hiawatha,Henry Wadsworth Longfellow,https://www.gutenberg.org/files/19/19-0.txt
15,20,Paradise Lost,John Milton,https://www.gutenberg.org/files/20/20-0.txt
16,21,Aesop's Fables,Aesop,https://www.gutenberg.org/files/21/21-0.txt
17,22,Roget's Thesaurus,Peter Mark Roget,https://www.gutenberg.org/files/22/22-0.txt
18,23,Narrative of the Life of Frederick Douglass; an American Slave,Douglass,https://www.gutenberg.org/files/23/23-0.txt
19,24,O Pioneers!,Willa Cather,https://www.gutenberg.org/files/24/24-0.txt
20,26,Paradise Lost,John Milton,https://www.gutenberg.org/files/26/26-0.txt
21,27,Far from the Madding Crowd,Thomas Hardy,https://www.gutenberg.org/files/27/27-0.txt
